iter	Passed	Remaining
759	2770	874
760	2773	871
761	2776	867
762	2779	863
763	2783	859
764	2786	856
765	2789	852
766	2793	848
767	2796	844
768	2800	841
769	2803	837
770	2807	833
771	2810	829
772	2813	826
773	2816	822
774	2819	818
775	2823	815
776	2826	811
777	2830	807
778	2833	803
779	2836	800
780	2840	796
781	2843	792
782	2846	788
783	2849	785
784	2853	781
785	2856	777
786	2859	773
787	2862	770
788	2866	766
789	2869	762
790	2872	758
791	2875	755
792	2879	751
793	2882	747
794	2886	744
795	2889	740
796	2893	736
797	2896	733
798	2900	729
799	2903	725
800	2906	722
801	2910	718
802	2913	714
803	2916	710
804	2920	707
805	2923	703
806	2926	699
807	2930	696
808	2934	692
809	2937	689
810	2940	685
811	2944	681
812	2947	677
813	2950	674
814	2954	670
815	2957	666
816	2961	663
817	2964	659
818	2968	656
819	2971	652
820	2975	648
821	2978	644
822	2982	641
823	2985	637
824	2988	633
825	2991	630
826	2994	626
827	2997	622
828	3001	619
829	3004	615
830	3008	611
831	3011	608
832	3014	604
833	3018	600
834	3021	597
835	3024	593
836	3027	589
837	3031	586
838	3034	582
839	3038	578
840	3041	575
841	3044	571
842	3047	567
843	3050	563
844	3054	560
845	3057	556
846	3060	552
847	3064	549
848	3067	545
849	3070	541
850	3074	538
851	3077	534
852	3080	530
853	3083	527
854	3087	523
855	3090	519
856	3093	516
857	3096	512
858	3100	508
859	3103	505
860	3106	501
861	3109	497
862	3113	494
863	3116	490
864	3120	487
865	3123	483
866	3127	479
867	3130	476
868	3134	472
869	3137	468
870	3140	465
871	3144	461
872	3147	457
873	3150	454
874	3154	450
875	3157	446
876	3160	443
877	3163	439
878	3168	436
879	3172	432
880	3176	429
881	3179	425
882	3183	421
883	3186	418
884	3189	414
885	3193	410
886	3197	407
887	3200	403
888	3203	399
889	3206	396
890	3210	392
891	3213	389
892	3216	385
893	3220	381
894	3223	378
895	3226	374
896	3229	370
897	3233	367
898	3236	363
899	3239	359
900	3242	356
901	3245	352
902	3249	349
903	3252	345
904	3255	341
905	3259	338
906	3263	334
907	3266	330
908	3269	327
909	3273	323
910	3276	320
911	3279	316
912	3283	312
913	3286	309
914	3289	305
915	3293	301
916	3296	298
917	3299	294
918	3303	291
919	3306	287
920	3309	283
921	3312	280
922	3316	276
923	3319	273
924	3323	269
925	3327	265
926	3330	262
927	3333	258
928	3336	255
929	3339	251
930	3343	247
931	3346	244
932	3349	240
933	3352	236
934	3355	233
935	3359	229
936	3362	226
937	3365	222
